id,rating,reput,worth,wage,ht_cm,preferred_foot,work_rate,pace,shooting,finishing,dribbling
256379,52,1,1011,10,70 in,Left,Medium,63,41,38,49
192906,79,1,1432,19.514,66 in,Right,High,68,82,82,84
230427,75,1,1432,27.124,172,Right,Medium,73,68,65,80
218887,68,1,1114,12.446,179,Right,Medium,66,49,42,64
256711,63,1,1069,10.815,185,Right,High,72,61,64,63
260984,57,1,1031,10,70 in,Right,Medium,60,46,44,64
258523,62,1,1058,10.272,191,Left,Medium,71,26,24,58
252796,61,1,1057,11.903,72 in,Left,Medium,71,61,65,64
177003,87,4,3308,113.019,172,Right,Medium,73,76,72,85
193027,69,1,1078,10.054,66 in,Right,High,71,58,61,80
239378,68,1,1194,15.165,180,Right,Medium,62,69,70,66
243788,68,1,1179,11.903,175,Left,High,75,59,59,71
246452,58,1,1030,10.217,72 in,Right,Medium,61,34,28,50
245132,73,1,1468,10.082,187,Right,High,63,38,38,46
237424,69,1,1158,12.446,180,Right,Medium,63,60,63,71
199236,71,1,1114,13.534,177,Left,Medium,87,49,38,68
256136,72,1,1396,10.136,67 in,Left,High,83,67,65,77
208989,67,1,1071,12.446,185,Right,Medium,81,66,68,66
200918,70,1,1114,18.97,71 in,Right,Medium,80,65,64,68
236368,71,1,1194,15.165,184,Right,Medium,66,59,58,70
256556,53,1,1019,10,181,Left,High,69,42,39,58
237916,66,1,1136,15.165,173,Right,High,67,62,59,72
244505,57,1,1026,10.272,183,Right,Medium,68,59,62,49
247719,55,1,1012,11.359,183,Right,Medium,67,49,52,58
237368,65,1,1071,10.815,74 in,Right,Medium,33,39,36,55
215332,73,1,1215,17.339,71 in,Right,High,84,71,71,74
244118,63,1,1033,10.815,176,Left,Medium,76,60,59,72
204709,70,1,1114,12.99,180,Right,High,65,72,72,70
207956,70,1,1129,14.621,69 in,Right,Medium,79,62,59,73
262919,57,1,1024,10,74 in,Right,Medium,61,23,19,24
252715,62,1,1040,10.815,185,Right,Medium,73,61,61,63
236633,63,1,1049,10.815,70 in,Right,Medium,75,59,59,64
234741,73,1,1432,18.97,169,Right,High,69,67,63,68
261000,64,1,1057,10,175,Right,Medium,69,57,59,64
259442,59,1,1048,10,190,Right,Medium,54,32,28,55
201389,76,2,1504,33.648,185,Left,Medium,75,65,58,73
199266,69,2,1100,11.903,74 in,Right,High,64,67,65,71
259268,60,1,1046,10.815,180,Right,Medium,84,57,60,63
211872,69,1,1086,13.534,72 in,Left,High,71,61,54,67
224718,73,1,1259,29.843,180,Right,Medium,64,63,60,69
234376,72,1,1223,16.252,178,Right,High,80,71,67,76
261327,64,1,1057,10,170,Right,High,77,61,60,66
259030,53,1,1016,10.082,67 in,Right,Medium,66,42,40,50
228508,65,1,1051,11.359,181,Right,Medium,58,42,40,57
194759,65,1,1042,11.903,191,Left,Medium,54,27,17,50
259619,56,1,1026,10,69 in,Right,Medium,62,57,60,67
244961,58,1,1033,10.272,71 in,Right,High,78,24,22,50
242322,63,1,1040,11.359,178,Left,Medium,73,62,63,63
210831,72,1,1194,17.339,175,Right,High,68,60,48,70
247266,67,1,1093,11.359,73 in,Right,Medium,52,27,26,46
251224,57,1,1026,10.815,72 in,Right,Medium,65,55,58,50
262369,53,1,1014,10.272,180,Right,Medium,64,46,41,52
215162,72,1,1053,15.165,76 in,Right,Medium,40,59,53,48
257438,57,1,1030,11.903,175,Right,Medium,77,58,61,58
260612,55,1,1021,10,180,Right,Medium,62,49,50,55
252929,65,1,1122,12.446,70 in,Right,Medium,74,51,53,67
232822,63,1,1051,10.272,174,Right,Medium,82,56,59,64
255927,57,1,1028,10.163,182,Right,High,62,45,39,57
200949,81,3,2875,66.81,69 in,Right,High,90,79,79,88
170229,62,1,1013,10.815,191,Left,Low,43,28,27,34
223676,69,1,1107,16.795,182,Left,Medium,82,61,62,68
263951,57,1,1028,10.815,188,Right,Medium,71,33,29,46
210688,69,1,1129,16.252,183,Left,Medium,76,68,64,68
259671,62,1,1069,14.077,68 in,Right,Medium,72,60,61,65
237428,63,1,1039,10.272,70 in,Right,Medium,69,54,55,67
235212,85,2,6015,64.092,181,Right,High,95,71,73,84
173434,70,1,1053,13.534,178,Right,Medium,74,65,64,70
200424,69,1,1078,13.534,182,Right,Medium,62,62,60,67
237524,67,1,1086,15.165,191,Right,Medium,65,66,65,62
187069,65,1,1044,11.359,170,Left,Medium,72,49,41,63
224403,68,1,1093,12.446,186,Left,High,72,60,57,66
259537,62,1,1064,10.815,172,Right,Medium,71,59,61,64
261756,66,1,1136,10.815,180,Right,Medium,83,63,61,71
183512,82,2,2587,28.755,71 in,Left,High,83,68,61,72
246467,60,1,1039,10.163,182,Right,Medium,68,51,55,63
207459,61,1,1019,10.217,71 in,Right,High,75,59,61,59
224103,73,1,1432,24.95,171,Right,High,90,54,41,68
257136,63,1,1048,10.272,187,Right,High,86,40,36,64
250989,49,1,1004,10.272,73 in,Right,Low,52,25,20,35
229184,61,1,1049,10.815,72 in,Right,Low,59,38,33,47
193301,82,3,3164,69.528,69 in,Right,High,75,82,83,83
237860,64,1,1093,10.815,175,Left,Medium,84,63,58,66
187013,69,1,1064,20.057,185,Left,Medium,38,50,33,59
264030,50,1,1010,10,180,Right,High,68,35,28,49
243428,60,1,1039,10,183,Right,Medium,61,25,19,41
213956,78,1,2334,52.675,178,Right,High,96,66,66,92
262572,53,1,1015,10.272,70 in,Right,Medium,69,49,51,56
261760,59,1,1019,10,69 in,Right,Medium,57,48,43,58
245148,69,1,1107,14.077,170,Right,Medium,71,68,74,68
229080,57,1,1009,10,170,Right,Medium,69,26,25,45
216283,75,1,1353,21.688,67 in,Left,High,73,59,54,74
244502,57,1,1022,10,73 in,Right,Medium,65,28,24,35
248007,65,1,1026,11.359,174,Right,Medium,67,43,47,60
241303,54,1,1006,10.815,183,Right,Medium,53,51,44,45
222991,67,1,1060,11.359,169,Right,High,77,65,64,68
219777,71,1,1122,18.426,74 in,Left,Medium,59,59,55,54
227900,68,1,1107,12.99,69 in,Right,Medium,78,50,47,69
255803,60,1,1037,10,72 in,Right,Medium,65,24,17,39
220893,59,1,1022,10.815,74 in,Right,Medium,66,57,61,49
259628,51,1,1010,10,183,Right,High,68,48,52,50
239211,69,1,1129,11.903,72 in,Right,High,55,69,72,66
237563,66,1,1122,10.815,189,Right,Medium,83,66,68,67
259568,51,1,1009,10.245,70 in,Right,Medium,54,42,40,50
242306,68,1,1093,10.815,177,Right,Low,72,24,17,64
258421,56,1,1024,10,67 in,Left,Medium,76,32,29,53
262606,56,1,1022,10.815,185,Right,Medium,61,47,49,59
257984,54,1,1019,10.027,175,Right,Medium,67,40,36,53
261551,59,1,1035,10,175,Right,Medium,67,52,55,60
248507,65,1,1122,10.815,72 in,Right,Medium,77,64,68,67
227689,71,1,1158,15.708,175,Right,Medium,80,72,73,67
251042,62,1,1033,10.815,72 in,Left,High,73,55,52,49
256292,67,1,1165,13.534,75 in,Right,Medium,63,57,57,59
261296,51,1,1012,10,73 in,Right,Medium,56,36,32,53
254910,70,1,1165,12.446,170,Right,High,73,66,66,72
261374,63,1,1093,12.446,172,Left,High,71,49,47,62
202341,63,1,1033,11.359,171,Right,Medium,68,59,59,68
261384,55,1,1021,10,180,Left,High,92,43,47,56
241073,69,1,1150,10.027,180,Left,Medium,81,35,32,63
212165,67,1,1066,12.99,181,Right,High,67,61,59,64
203863,59,1,1015,10,177,Right,Medium,64,57,57,62
225100,82,2,4138,64.092,188,Right,Medium,81,30,26,67
259978,68,1,1187,11.359,178,Right,Medium,61,50,48,59
216433,76,1,1648,40.172,74 in,Right,Medium,73,78,77,78
230624,68,1,1086,13.534,191,Right,High,57,67,70,62
152454,61,1,1013,11.903,183,Right,High,63,59,56,61
204259,79,2,2118,38.541,178,Right,High,77,53,51,74
264459,62,1,1062,10.272,173,Right,Medium,69,60,63,67
260478,67,1,1165,11.903,185,Right,Medium,86,59,60,68
214158,71,1,1114,14.621,70 in,Right,Low,62,45,32,57
198740,65,1,1026,11.359,67 in,Left,High,43,58,51,67
254068,68,1,1136,10,166,Right,High,77,64,65,66
236586,67,1,1158,10.815,177,Right,High,86,54,55,67
245981,62,1,1057,10.272,182,Right,Medium,66,47,44,58
183720,62,1,1019,10.815,67 in,Right,Medium,56,58,58,61
251192,61,1,1057,11.903,186,Right,Medium,69,62,64,64
253340,71,1,1042,10.027,167,Right,Medium,68,70,69,72
261994,56,1,1021,10.272,71 in,Right,High,69,58,60,49
205481,68,1,1114,12.99,178,Right,High,80,62,62,67
247985,61,1,1022,10.272,178,Right,Medium,76,58,52,61
212198,88,3,8757,145.637,179,Right,High,75,86,83,83
238961,64,1,1037,10.109,180,Right,Medium,73,29,27,60
247579,53,1,1011,10.272,69 in,Right,Medium,51,27,24,29
236997,69,1,1129,12.99,184,Right,Medium,64,51,45,66
240400,55,1,1019,10.815,183,Right,Medium,67,52,56,53
236459,62,1,1026,10.815,68 in,Right,High,76,34,33,53
246301,63,1,1071,10.272,180,Right,Medium,64,43,38,57
240963,72,1,1172,16.252,181,Right,High,76,72,74,65
251629,63,1,1078,10.815,189,Right,High,71,58,57,63
243273,55,1,1019,11.359,67 in,Left,Medium,69,51,54,56
205157,73,1,1223,20.057,175,Right,High,69,59,56,70
236217,68,1,1122,14.077,192,Right,Medium,78,33,28,62
205929,65,1,1051,10.815,180,Right,Medium,62,58,58,67
260990,61,1,1058,10.109,180,Left,High,66,47,44,65
233848,76,1,2081,23.863,184,Right,High,88,68,69,78
158984,68,1,1016,11.903,172,Right,Medium,60,55,55,59
257916,63,1,1078,11.359,71 in,Right,Medium,67,65,65,64
190059,75,2,1396,10.272,182,Right,High,75,73,72,73
238902,64,1,1028,12.446,185,Right,Low,55,27,22,33
189511,86,4,4247,118.455,189,Right,Medium,42,62,67,81
194017,70,1,1114,21.144,70 in,Right,High,81,69,69,70
200898,63,1,1033,11.359,179,Right,High,68,62,60,63
264228,63,1,1078,10.272,180,Right,High,63,62,67,69
222475,73,2,1316,17.883,189,Right,High,68,62,62,70
264194,57,1,1031,10.027,177,Right,Medium,66,38,37,60
239915,61,1,1057,10.815,190,Right,Medium,45,64,64,52
204353,68,1,1058,12.99,74 in,Left,Medium,54,59,55,65
244537,65,1,1078,11.359,188,Left,Medium,64,27,24,34
234350,67,1,1114,11.359,170,Right,High,85,60,61,65
239800,66,1,1143,15.165,174,Right,Medium,72,33,32,60
194059,66,1,1060,11.359,177,Right,High,58,60,60,67
178287,73,2,1172,30.93,179,Right,High,55,68,69,72
246005,65,1,1114,10.815,180,Left,Medium,72,30,27,61
189472,77,1,1504,23.863,73 in,Right,Medium,56,36,26,40
264206,53,1,1013,11.903,67 in,Right,Medium,67,48,48,54
248809,54,1,1019,10,171,Right,Medium,70,48,46,54
212484,66,1,1071,11.903,173,Right,High,91,58,61,64
193957,63,1,1030,10.815,71 in,Left,High,77,58,58,63
184392,78,2,1721,51.588,182,Right,Medium,70,58,55,72
247970,63,1,1024,10.815,175,Right,Medium,78,57,55,61
225756,59,1,1024,10.19,188,Right,Medium,62,58,60,56
260184,65,1,1114,10.272,66 in,Right,High,69,63,65,67
242212,64,1,1044,11.903,180,Right,High,75,57,57,62
257758,61,1,1026,10.272,69 in,Right,Medium,67,58,57,62
235662,68,1,1179,11.903,74 in,Right,Medium,79,36,32,58
211978,64,1,1048,10.245,189,Right,Medium,51,35,24,57
239995,63,1,1078,11.359,170,Left,High,68,53,51,67
237382,62,1,1064,13.534,73 in,Right,Medium,56,53,49,60
213323,67,1,1060,14.077,74 in,Right,Medium,58,33,32,47
252386,60,1,1046,10.815,70 in,Right,Medium,52,61,64,58
248498,63,1,1093,12.99,68 in,Right,High,73,54,55,76
201991,70,1,1093,12.446,187,Right,Medium,42,47,40,66
212244,73,1,1252,20.601,180,Left,Medium,71,42,35,67
152922,66,1,1019,11.359,182,Right,Medium,39,63,56,66
233029,75,1,1396,17.339,70 in,Right,Medium,77,68,66,77
257529,54,1,1019,11.903,165,Right,Medium,68,39,38,57
256746,61,1,1055,10.272,74 in,Left,High,69,60,60,64
29118,58,2,,10.163,69 in,Right,Low,30,55,56,60
240138,70,1,1114,10.109,73 in,Right,Low,63,34,30,40
118646,64,1,1013,11.903,70 in,Right,Medium,59,66,68,64
233532,70,1,1093,10,175,Right,Medium,64,50,45,60
251392,69,1,1208,19.514,72 in,Right,High,71,64,59,67
193768,66,1,1053,11.359,178,Right,High,69,52,43,63
236611,62,1,1044,11.359,190,Right,Medium,61,61,61,56
262831,61,1,1033,10.815,188,Right,High,73,59,61,59
253553,62,1,1064,10,69 in,Right,High,64,56,51,70
177404,64,1,1021,12.446,178,Right,Medium,47,46,39,56
260802,56,1,1014,10.027,187,Left,Medium,55,30,28,51
256503,64,1,1100,10.815,167,Left,Medium,74,61,64,66
194728,74,2,1302,31.474,192,Right,High,65,74,75,77
263168,60,1,1055,11.903,196,Right,High,62,46,37,58
242533,67,1,1086,11.359,188,Right,Medium,50,37,45,45
255947,62,1,1042,10.272,175,Right,Medium,67,32,26,46
262713,52,1,1012,10.109,68 in,Left,Medium,71,28,22,50
230658,83,2,4391,58.655,67 in,Right,Medium,69,67,59,87
212018,66,1,1051,11.359,72 in,Right,Low,71,29,24,36
263888,58,1,1037,10.245,168,Left,High,92,51,52,58
232094,70,1,1150,12.99,185,Right,Medium,79,70,73,67
250941,66,1,1129,10.815,71 in,Left,High,82,46,40,69
260174,51,1,1009,10,69 in,Right,Medium,78,48,50,50
228997,67,1,1093,16.795,77 in,Right,Medium,53,32,30,54
241184,78,2,2334,41.803,72 in,Left,Medium,81,64,66,73
264260,62,1,1071,12.446,185,Right,High,83,61,62,60
209521,70,1,1100,16.252,71 in,Right,Low,62,49,43,62
254838,61,1,1053,10.272,188,Right,Medium,65,61,63,57
237995,74,1,1685,17.883,168,Left,High,78,64,64,81
220421,77,1,1793,26.037,168,Left,High,88,61,61,74
255140,65,1,1122,12.99,170,Right,High,63,66,70,67
230938,84,3,4571,37.454,183,Right,High,78,74,67,78
225948,73,1,1259,10.109,189,Right,Medium,61,41,42,49
216476,70,1,1107,10.272,68 in,Right,High,87,66,67,70
230921,62,1,1042,10.272,69 in,Right,Medium,70,54,47,66
231356,67,1,1093,10.815,73 in,Right,High,83,52,61,65
237779,62,1,1013,10.815,182,Right,Low,54,29,21,40
179665,68,1,1053,12.446,181,Right,High,62,70,68,67
187077,62,1,1022,11.359,67 in,Right,High,69,61,62,62
192638,79,2,2081,61.373,74 in,Left,High,58,74,70,78
229496,71,1,1093,13.534,186,Right,High,53,34,23,50
244793,68,1,1107,10,79 in,Right,Medium,47,68,70,62
217086,68,1,1071,15.165,68 in,Right,High,74,67,64,69
230237,74,1,1259,16.252,71 in,Right,High,64,59,54,61
192250,65,1,1035,10.217,75 in,Left,Medium,42,40,41,48
223734,69,1,1067,13.534,72 in,Right,Low,52,41,41,43
241670,69,1,1100,19.514,185,Right,Low,56,52,45,61
260233,64,1,1086,10.815,73 in,Left,Low,62,31,23,35
220669,65,1,1078,11.903,178,Right,Medium,82,64,67,65
147846,69,1,1017,12.446,185,Right,Medium,50,52,41,49
227537,72,1,1165,14.077,201,Right,Medium,73,71,77,58
258393,61,1,1055,10.109,69 in,Right,Medium,68,52,52,65
262303,65,1,1058,10.815,179,Right,Medium,71,66,65,65
263421,60,1,1044,10.136,175,Right,Medium,82,50,55,61
264268,68,1,1179,11.359,74 in,Left,Medium,58,32,29,39
211320,77,2,1829,42.346,190,Right,Low,59,40,33,61
259790,66,1,1136,11.359,173,Right,Medium,80,54,52,70
207715,76,1,1576,33.104,70 in,Left,High,77,78,79,81
254279,59,1,1031,10.272,183,Right,Medium,56,31,27,50
235049,65,1,1069,11.903,172,Left,Medium,83,35,29,62
230855,73,1,1201,19.514,189,Right,High,62,32,30,58
258617,58,1,1033,10,197,Right,Medium,55,27,22,34
230358,73,1,1223,15.708,175,Right,Medium,66,50,45,61
184457,67,2,1058,11.903,185,Right,Medium,59,67,67,65
252733,54,1,1015,10,75 in,Right,Medium,55,29,23,45
230259,73,1,1215,20.601,183,Right,Medium,63,53,52,62
225654,60,1,1022,10,74 in,Left,Medium,66,57,58,61
195033,71,1,1129,15.165,71 in,Right,Medium,81,65,65,73
220187,65,1,1071,11.903,169,Right,High,82,63,64,65
191083,72,1,1143,16.795,75 in,Right,High,52,72,76,64
251586,52,1,1011,10.272,178,Right,Low,63,25,22,50
254204,65,1,1107,10,180,Left,Medium,71,38,43,38
227881,63,1,1048,11.359,180,Right,Medium,69,52,51,60
190549,73,1,1194,13.534,187,Right,Medium,65,70,69,69
223918,60,1,1019,10.815,71 in,Right,Medium,66,48,43,58
262591,60,1,1033,10,74 in,Right,Medium,67,41,44,57
258749,55,1,1024,10.027,74 in,Left,High,79,54,55,57
212493,67,1,1086,11.903,182,Right,High,80,64,61,71
213377,65,1,1051,14.077,176,Right,High,77,63,68,59
214659,71,1,1136,14.621,186,Left,Medium,43,29,26,45
190583,67,1,1071,12.446,76 in,Right,High,58,65,68,59
252675,64,1,1049,10.815,76 in,Right,Low,56,32,23,41
203895,80,2,2478,16.795,67 in,Right,High,65,75,75,83
262562,66,1,1129,10,184,Left,Medium,62,26,22,21
251169,60,1,1039,10.272,184,Left,High,64,49,40,57
238391,68,1,1122,10.815,176,Right,Medium,82,40,35,63
198240,72,1,1114,14.077,180,Left,Medium,66,63,58,59
166841,64,1,1014,11.359,178,Right,High,65,56,56,62
222432,57,1,1010,10.815,177,Right,Medium,78,46,34,55
220997,65,1,1060,10.815,177,Right,Medium,80,62,62,66
198133,68,1,1086,17.339,180,Right,Medium,77,65,59,70
209335,68,1,1093,11.359,74 in,Left,High,76,59,56,62
264049,58,1,1037,10,165,Right,Medium,60,54,53,55
246387,69,1,1129,15.165,72 in,Right,Medium,74,43,32,61
235554,66,1,1100,14.077,183,Right,Medium,81,64,61,69
232623,69,1,1143,12.99,171,Right,High,71,61,57,64
209565,63,1,1022,12.99,171,Right,Medium,60,41,36,59
240156,64,1,1066,11.903,69 in,Right,Medium,81,56,61,64
124344,67,1,,11.359,73 in,Right,Low,32,43,30,46
238065,64,1,1067,10.815,72 in,Right,High,80,55,53,67
250765,64,1,1049,11.903,71 in,Right,Medium,67,49,52,63
191857,59,1,1010,10.272,73 in,Right,Medium,63,52,49,53
250932,64,1,1049,10.272,178,Right,Medium,77,52,48,61
246335,69,1,1230,11.359,67 in,Right,High,72,50,42,69
221819,65,1,1042,11.903,180,Left,Medium,70,52,50,65
211096,66,1,1058,10.815,72 in,Right,Medium,71,39,35,56
192634,70,1,1093,13.534,180,Left,High,67,67,63,70
233084,73,1,1468,15.708,175,Right,High,78,64,68,74
247347,57,1,1026,10.272,180,Left,High,63,58,60,51
260149,62,1,1067,10.109,182,Right,Medium,65,52,51,65
257000,68,1,1194,14.077,73 in,Left,Medium,56,28,21,59
201401,66,1,1055,11.359,176,Right,Medium,70,51,40,64
199490,67,1,1071,11.903,67 in,Right,High,80,67,65,63
209075,63,1,1026,10,184,Right,Medium,65,55,52,63
230255,74,1,1259,16.252,72 in,Left,High,70,56,55,71
235618,63,1,1051,11.359,70 in,Right,High,81,39,35,62
255862,71,1,1302,11.903,172,Right,High,77,62,68,74
239881,70,1,1259,14.621,69 in,Right,Medium,76,70,75,72
202078,74,1,1252,14.077,175,Right,High,78,66,61,80
261636,67,1,1150,10.815,186,Right,High,57,71,77,62
221346,61,1,1037,10.19,189,Right,Medium,71,59,58,70
243667,56,1,1024,12.99,171,Right,Medium,71,59,63,55
241187,76,1,2118,14.077,185,Right,Medium,80,52,59,71
252547,61,1,1048,10.272,69 in,Left,Medium,75,34,31,57
241593,54,1,1009,10.815,178,Right,Medium,70,50,48,53
193352,76,2,1504,30.386,72 in,Left,Medium,71,67,58,74
251482,62,1,1064,10.272,70 in,Right,Medium,82,42,43,66
221430,75,1,1468,16.252,182,Right,High,79,79,79,69
260214,63,1,1048,10.217,168,Right,Medium,74,63,62,63
227604,67,1,1107,12.99,75 in,Right,Medium,72,65,66,62
251486,65,1,1066,10.815,74 in,Left,Medium,63,59,55,66
253099,59,1,1039,10.272,170,Left,Medium,73,54,61,54
260044,66,1,1150,12.99,185,Right,Medium,65,67,72,67
263761,57,1,1026,10.815,178,Left,High,72,56,56,60
260167,62,1,1064,10.815,192,Right,Medium,55,33,28,29
223926,73,1,1331,16.252,175,Right,High,75,70,68,77
237592,65,1,1055,11.359,180,Right,High,70,47,42,60
264448,63,1,1044,10.109,173,Right,High,83,60,62,65
262287,61,1,1024,11.359,175,Left,High,78,42,41,57
257112,61,1,1051,10.815,178,Left,Medium,79,58,60,72
240600,62,1,1042,12.99,185,Left,Medium,67,57,54,62
234579,68,1,1122,17.883,177,Right,Medium,84,64,68,70
202422,66,1,1060,11.359,175,Right,Medium,66,54,52,62
240992,67,1,1093,12.446,181,Right,Medium,69,64,67,67
212451,66,1,1055,11.359,70 in,Left,Medium,71,59,56,66
225653,75,1,1504,33.104,184,Right,High,93,70,72,74
254117,64,1,1100,11.359,183,Right,Medium,64,66,71,60
230606,64,1,1060,11.359,184,Right,High,73,59,56,66
190761,73,1,1179,16.795,71 in,Right,High,65,68,60,78
245214,71,1,1143,10.815,175,Right,Medium,83,65,69,72
221293,61,1,1030,10.815,75 in,Left,High,53,58,59,58
258895,62,1,1069,10.815,190,Right,Medium,67,62,63,53
254565,65,1,1107,10.815,172,Right,Medium,73,46,36,62
199982,71,1,1114,15.165,77 in,Left,Medium,43,64,57,63
209519,80,2,2767,41.803,181,Left,High,77,78,80,79
251613,70,1,1244,13.534,173,Right,High,84,45,38,63
223016,68,1,1071,12.99,184,Right,Medium,63,42,33,42
244253,78,1,3020,26.581,193,Right,Medium,66,75,72,74
190311,69,1,1086,22.775,188,Right,High,76,68,72,68
225309,77,2,2081,32.017,71 in,Right,High,68,73,69,85
259220,49,1,1007,10,63 in,Right,Medium,64,40,40,50
221695,70,1,1165,13.534,176,Right,Medium,70,63,52,72
