Order_Id,Type_of_Payment,Days_for_shipment,Sales_per_customer,Delivery_Status,Late_delivery,Category_Name,Customer_Id,Customer_Segment,Customer_Age,Order_Item_Discount,Order_Status,Product_Name,Product_Price,Shipping_Mode
31115,PAYMENT,2,96,Late delivery,1,Women's Apparel,639,Home Office,20,4,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
45766,PAYMENT,2,75.98000336,Shipping on time,0,Shop By Sport,9702,Home Office,74,4,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class
47752,PAYMENT,2,91,Late delivery,1,Women's Apparel,9114,Home Office,21,9,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
50054,PAYMENT,2,87,Late delivery,1,Women's Apparel,1362,Home Office,74,13,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
20365,PAYMENT,2,82,Late delivery,1,Women's Apparel,8011,Home Office,43,18,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
36146,PAYMENT,2,74.68000031,Shipping on time,0,Electronics,3296,Home Office,22,15.7000019,PENDING,Under Armour Men's Compression EV SL Slide,44.99000168,Second Class
41234,PAYMENT,2,90.15000153,Late delivery,1,Boxing & MMA,3182,Home Office,41,19.79000092,PENDING,Under Armour Women's Micro G Skulpt Running S,54.97000122,Second Class
32090,PAYMENT,2,117.5800018,Late delivery,1,Cleats,7864,Home Office,23,2.400000095,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
34773,PAYMENT,2,95.98000336,Late delivery,1,Cleats,11169,Home Office,68,24,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
44046,PAYMENT,2,263.9700012,Shipping on time,0,Cardio Equipment,5197,Home Office,16,36,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Second Class
46414,PAYMENT,2,113.9700012,Late delivery,1,Shop By Sport,1535,Home Office,62,6,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class
46599,PAYMENT,2,63.99000168,Late delivery,1,Trade-In,6122,Home Office,23,1.980000019,PENDING,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,Second Class
48434,PAYMENT,2,79.66000366,Late delivery,1,Electronics,9451,Home Office,63,16.30999947,PENDING,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,Second Class
12827,PAYMENT,2,293.9700012,Late delivery,1,Cardio Equipment,542,Home Office,56,6,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Second Class
63936,PAYMENT,2,269.9700012,Shipping on time,0,Cardio Equipment,11329,Home Office,70,30,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Second Class
65030,PAYMENT,2,224.9799957,Late delivery,1,Cardio Equipment,3570,Home Office,18,74.98999786,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Second Class
18108,PAYMENT,2,176.3699951,Late delivery,1,Cleats,650,Home Office,47,3.599999905,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
62571,PAYMENT,2,167.3699951,Shipping on time,0,Cleats,9353,Home Office,74,12.60000038,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
17162,PAYMENT,2,163.7700043,Late delivery,1,Cleats,54,Home Office,53,16.20000076,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
65922,PAYMENT,2,161.9700012,Late delivery,1,Cleats,12151,Home Office,22,18,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
63936,PAYMENT,2,139.5,Shipping on time,0,Women's Apparel,11329,Home Office,15,10.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
64813,PAYMENT,2,107.9700012,Late delivery,1,Shop By Sport,10018,Home Office,74,12,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class
67892,PAYMENT,2,112.5,Late delivery,1,Women's Apparel,3182,Home Office,52,37.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
12525,PAYMENT,2,55.40999985,Late delivery,1,Trade-In,4936,Home Office,14,10.56000042,PENDING,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,Second Class
5895,PAYMENT,2,299.9700012,Late delivery,1,Cardio Equipment,8707,Home Office,58,0,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Second Class
56359,PAYMENT,2,178.1699982,Late delivery,1,Cleats,1025,Home Office,36,1.799999952,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
58613,PAYMENT,2,170.9700012,Late delivery,1,Cleats,8831,Home Office,60,9,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
7824,PAYMENT,2,170.0700073,Late delivery,1,Cleats,10679,Home Office,59,9.899999619,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
7814,PAYMENT,2,167.3699951,Late delivery,1,Cleats,5007,Home Office,19,12.60000038,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
7814,PAYMENT,2,163.7700043,Late delivery,1,Cleats,5007,Home Office,29,16.20000076,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
60807,PAYMENT,2,152.9700012,Late delivery,1,Cleats,9854,Home Office,66,27,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
53413,PAYMENT,2,152.9700012,Late delivery,1,Cleats,376,Home Office,71,27,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
7888,PAYMENT,2,150,Late delivery,1,Women's Apparel,5417,Home Office,67,0,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
6783,PAYMENT,2,115.1699982,Late delivery,1,Shop By Sport,10759,Home Office,67,4.800000191,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class
56973,PAYMENT,2,144,Late delivery,1,Women's Apparel,8541,Home Office,51,6,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
7824,PAYMENT,2,142.5,Late delivery,1,Women's Apparel,10679,Home Office,73,7.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
55155,PAYMENT,2,139.5,Late delivery,1,Women's Apparel,3752,Home Office,28,10.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
5991,PAYMENT,2,132,Shipping on time,0,Women's Apparel,4673,Home Office,27,18,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
2263,PAYMENT,2,132,Late delivery,1,Women's Apparel,5367,Home Office,35,18,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
2263,PAYMENT,2,130.5,Late delivery,1,Women's Apparel,5367,Home Office,57,19.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
53403,PAYMENT,2,124.5,Late delivery,1,Women's Apparel,10485,Home Office,22,25.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Second Class
51298,PAYMENT,2,99.58000183,Late delivery,1,Shop By Sport,9272,Home Office,73,20.38999939,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Second Class
4919,TRANSFER,4,240,Late delivery,1,Women's Apparel,647,Consumer,49,10,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
52640,TRANSFER,4,189.9499969,Late delivery,1,Shop By Sport,6398,Consumer,33,10,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class
6358,TRANSFER,4,188.9499969,Shipping on time,0,Shop By Sport,4209,Consumer,17,11,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class
57106,TRANSFER,4,236.25,Advance shipping,0,Women's Apparel,8917,Consumer,50,13.75,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
6245,TRANSFER,4,236.25,Late delivery,1,Women's Apparel,7784,Consumer,72,13.75,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
52166,TRANSFER,4,136.5,Advance shipping,0,Shop By Sport,1425,Consumer,39,13.5,PENDING,Columbia Men's PFG Anchor Tough T-Shirt,30,Standard Class
56172,TRANSFER,4,181.9499969,Advance shipping,0,Shop By Sport,2737,Consumer,33,18,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class
55829,TRANSFER,4,225,Late delivery,1,Women's Apparel,6428,Consumer,73,25,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
52478,TRANSFER,4,225,Shipping on time,0,Women's Apparel,6543,Consumer,49,25,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
57242,TRANSFER,4,173.9600067,Advance shipping,0,Shop By Sport,3990,Consumer,49,25.98999977,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class
3137,TRANSFER,4,217.5,Advance shipping,0,Women's Apparel,8524,Consumer,44,32.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
60127,TRANSFER,4,217.5,Advance shipping,0,Women's Apparel,9204,Consumer,71,32.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
3828,TRANSFER,4,169.9600067,Shipping on time,0,Shop By Sport,11761,Consumer,63,29.98999977,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class
60386,TRANSFER,4,212.5,Advance shipping,0,Women's Apparel,9554,Consumer,38,37.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
973,TRANSFER,4,167.9600067,Shipping on time,0,Shop By Sport,5118,Consumer,22,31.98999977,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class
57999,TRANSFER,4,207.5,Late delivery,1,Women's Apparel,5506,Consumer,74,42.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
54585,TRANSFER,4,207.5,Late delivery,1,Women's Apparel,1423,Consumer,63,42.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
57598,TRANSFER,4,200,Shipping on time,0,Women's Apparel,138,Consumer,28,50,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
54274,TRANSFER,4,200,Late delivery,1,Women's Apparel,6360,Consumer,34,50,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
60673,TRANSFER,4,149.9600067,Shipping on time,0,Shop By Sport,2053,Consumer,71,49.99000168,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Standard Class
59387,TRANSFER,4,187.5,Advance shipping,0,Women's Apparel,10344,Consumer,63,62.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
52640,TRANSFER,4,187.5,Late delivery,1,Women's Apparel,6398,Consumer,61,62.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
10007,TRANSFER,4,187.5,Advance shipping,0,Women's Apparel,3375,Consumer,71,62.5,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50,Standard Class
55984,TRANSFER,4,237.5500031,Late delivery,1,Electronics,1339,Consumer,45,2.400000095,PENDING,Titleist Pro V1x Golf Balls,47.99000168,Standard Class
52478,TRANSFER,4,153.5500031,Shipping on time,0,Electronics,6543,Consumer,26,6.400000095,PENDING,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,Standard Class
58375,TRANSFER,4,395.9599915,Late delivery,1,Kids' Golf Clubs,3990,Consumer,26,53.99000168,PENDING,Polar FT4 Heart Rate Monitor,89.98999786,Standard Class
56448,TRANSFER,4,124.4599991,Shipping on time,0,Hunting & Shooting,7247,Consumer,47,25.48999977,PENDING,ENO Atlas Hammock Straps,29.98999977,Standard Class
8221,TRANSFER,4,284.9500122,Advance shipping,0,Baseball & Softball,1273,Consumer,62,15,PENDING,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,Standard Class
58034,TRANSFER,4,499.9500122,Late delivery,1,Cardio Equipment,6277,Consumer,30,0,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
2203,TRANSFER,4,494.9500122,Shipping on time,0,Cardio Equipment,7701,Consumer,57,5,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
53069,TRANSFER,4,484.9500122,Late delivery,1,Cardio Equipment,4126,Consumer,55,15,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
60146,TRANSFER,4,479.9500122,Advance shipping,0,Cardio Equipment,9528,Consumer,28,20,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
55409,TRANSFER,4,479.9500122,Late delivery,1,Cardio Equipment,1853,Consumer,28,20,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
8678,TRANSFER,4,474.9500122,Shipping on time,0,Cardio Equipment,11149,Consumer,25,25,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
7980,TRANSFER,4,474.9500122,Late delivery,1,Cardio Equipment,5828,Consumer,69,25,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
57185,TRANSFER,4,449.9599915,Late delivery,1,Cardio Equipment,6887,Consumer,41,50,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
8636,TRANSFER,4,449.9599915,Advance shipping,0,Cardio Equipment,4781,Consumer,16,50,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Standard Class
61192,TRANSFER,4,337.4599915,Advance shipping,0,Boxing & MMA,10668,Consumer,42,50,PENDING,Brooks Women's Ghost 6 Running Shoe,89.98999786,Standard Class
55876,TRANSFER,4,299.9500122,Advance shipping,0,Cleats,5421,Consumer,26,0,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class
53331,TRANSFER,4,296.9500122,Advance shipping,0,Cleats,10200,Consumer,29,3,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class
51725,TRANSFER,4,296.9500122,Late delivery,1,Cleats,11254,Consumer,70,3,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class
52562,TRANSFER,4,293.9500122,Advance shipping,0,Cleats,11106,Consumer,46,6,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class
59754,TRANSFER,4,290.9500122,Late delivery,1,Cleats,8456,Consumer,51,9,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class
53574,TRANSFER,4,287.9500122,Late delivery,1,Cleats,6149,Consumer,15,12,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class
399,TRANSFER,4,283.4500122,Late delivery,1,Cleats,1473,Consumer,59,16.5,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Standard Class
51050,DEBIT,2,86.98999786,Late delivery,1,Cardio Equipment,1840,Consumer,19,13,PENDING,Nike Men's Free 5.0+ Running Shoe,99.98999786,Second Class
45680,DEBIT,2,127.3899994,Late delivery,1,Men's Footwear,6757,Consumer,71,2.599999905,PENDING,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Second Class
42992,DEBIT,2,118.2900009,Late delivery,1,Men's Footwear,3972,Consumer,56,11.69999981,PENDING,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Second Class
41304,DEBIT,2,116.9899979,Late delivery,1,Men's Footwear,9316,Consumer,69,13,PENDING,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Second Class
45680,DEBIT,2,49.18999863,Late delivery,1,Cleats,6757,Consumer,45,10.80000019,PENDING,Perfect Fitness Perfect Rip Deck,59.99000168,Second Class
44253,DEBIT,2,103.9899979,Late delivery,1,Men's Footwear,11213,Consumer,44,26,PENDING,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Second Class
46098,DEBIT,2,296.980011,Late delivery,1,Camping & Hiking,3474,Consumer,17,3,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.980011,Second Class
41304,DEBIT,2,293.980011,Late delivery,1,Camping & Hiking,9316,Consumer,54,6,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.980011,Second Class
71077,DEBIT,2,252.8800049,Late delivery,1,Consumer Electronics,14630,Consumer,16,0,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
69703,DEBIT,2,447.519989,Late delivery,1,Cameras ,13256,Consumer,73,4.519999981,COMPLETE,Web Camera,452.0400085,Second Class
71112,DEBIT,2,250.3500061,Late delivery,1,Consumer Electronics,14665,Consumer,67,2.529999971,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
69810,DEBIT,2,443,Late delivery,1,Cameras ,13363,Consumer,45,9.039999962,COMPLETE,Web Camera,452.0400085,Second Class
71092,DEBIT,2,245.2899933,Late delivery,1,Consumer Electronics,14645,Consumer,25,7.590000153,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
69610,DEBIT,2,433.9599915,Late delivery,1,Cameras ,13163,Consumer,60,18.07999992,COMPLETE,Web Camera,452.0400085,Second Class
71000,DEBIT,2,240.2400055,Late delivery,1,Consumer Electronics,14553,Consumer,21,12.64000034,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
70734,DEBIT,2,1417.5,Late delivery,1,Computers,14287,Consumer,16,82.5,COMPLETE,Dell Laptop,1500,Second Class
69626,DEBIT,2,427.1799927,Shipping on time,0,Cameras ,13179,Consumer,28,24.86000061,COMPLETE,Web Camera,452.0400085,Second Class
69482,DEBIT,2,427.1799927,Late delivery,1,Cameras ,13035,Consumer,54,24.86000061,COMPLETE,Web Camera,452.0400085,Second Class
70769,DEBIT,2,1395,Late delivery,1,Computers,14322,Consumer,28,45,COMPLETE,Dell Laptop,1500,Second Class
69643,DEBIT,2,420.3999939,Late delivery,1,Cameras ,13196,Consumer,18,31.63999939,COMPLETE,Web Camera,452.0400085,Second Class
71051,DEBIT,2,230.1199951,Shipping on time,0,Consumer Electronics,14604,Consumer,31,22.76000023,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
69408,DEBIT,2,411.3599854,Late delivery,1,Cameras ,12961,Consumer,59,40.68000031,COMPLETE,Web Camera,452.0400085,Second Class
71123,DEBIT,2,230.1199951,Late delivery,1,Consumer Electronics,14676,Consumer,39,22.76000023,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
70534,DEBIT,2,1365,Late delivery,1,Computers,14087,Consumer,47,65,COMPLETE,Dell Laptop,1500,Second Class
69641,DEBIT,2,406.8399963,Shipping on time,0,Cameras ,13194,Consumer,57,45.20000076,COMPLETE,Web Camera,452.0400085,Second Class
70960,DEBIT,2,227.5899963,Late delivery,1,Consumer Electronics,14513,Consumer,28,25.29000092,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
69908,DEBIT,2,384.230011,Late delivery,1,Cameras ,13461,Consumer,37,67.80999756,COMPLETE,Web Camera,452.0400085,Second Class
70957,DEBIT,2,214.9499969,Late delivery,1,Consumer Electronics,14510,Consumer,69,37.9700031,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
69637,DEBIT,2,379.7099915,Late delivery,1,Cameras ,13190,Consumer,68,72.3700183,COMPLETE,Web Camera,452.0400085,Second Class
70955,DEBIT,2,209.8899994,Late delivery,1,Consumer Electronics,14508,Consumer,54,42.99000168,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
70919,DEBIT,2,209.8899994,Late delivery,1,Consumer Electronics,14472,Consumer,50,42.99000168,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
71009,DEBIT,2,209.8899994,Late delivery,1,Consumer Electronics,14562,Consumer,53,42.99000168,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
69653,DEBIT,2,370.6700134,Late delivery,1,Cameras ,13206,Consumer,40,81.37000275,COMPLETE,Web Camera,452.0400085,Second Class
69527,DEBIT,2,370.6700134,Late delivery,1,Cameras ,13080,Consumer,68,81.37000275,COMPLETE,Web Camera,452.0400085,Second Class
71080,DEBIT,2,207.3600006,Late delivery,1,Consumer Electronics,14633,Consumer,18,45.52000046,COMPLETE,Industrial consumer electronics,252.8800049,Second Class
70544,DEBIT,2,1200,Late delivery,1,Computers,14097,Consumer,22,70,COMPLETE,Dell Laptop,1500,Second Class
69471,DEBIT,2,339.0299988,Shipping on time,0,Cameras ,13024,Consumer,38,55,COMPLETE,Web Camera,452.0400085,Second Class
68879,DEBIT,2,989.9899902,Late delivery,1,Basketball,778,Consumer,47,10,COMPLETE,SOLE E25 Elliptical,999.9899902,Second Class
67214,DEBIT,2,78.38999939,Late delivery,1,Soccer,7146,Consumer,46,1.600000024,COMPLETE,Elevation Training Mask 2.0,79.98999786,Second Class
